Package Name;Dependents;Avg. LOC;Versions;Flagged;FP
\texttt{lodash};178,396;30,928;114;0;0.0
\texttt{react};116,129;12,717;1,547;6;0.4
\texttt{axios};112,373;6,388;85;2;2.4
\texttt{tslib};106,955;618;42;0;0.0
\texttt{chalk};102,125;533;38;1;2.6
\texttt{react-dom};85,027;127,745;1,513;22;1.5
\texttt{commander};77,242;1,987;102;0;0.0
\texttt{express};74,596;3,648;262;5;1.9
\texttt{vue};72,120;46,328;450;36;8.0
\texttt{moment};66,218;51,577;71;3;4.2
\texttt{fs-extra};62,407;1,066;93;0;0.0
\texttt{uuid};57,416;1,168;37;0;0.0
\texttt{prop-types};55,391;1,595;24;0;0.0
\texttt{request};55,117;2,561;122;0;0.0
\texttt{inquirer};50,948;2,487;141;0;0.0
\texttt{debug};48,551;766;64;0;0.0
\texttt{classnames};41,214;225;26;0;0.0
\texttt{yargs};35,666;2,418;250;1;0.4
\texttt{async};33,170;6,124;92;4;4.3
\texttt{bluebird};32,106;10,256;223;1;0.4
\texttt{glob};29,767;2,030;138;0;0.0
\texttt{webpack};28,130;47,781;826;14;1.7
\texttt{mkdirp};23,396;480;42;1;2.4
\texttt{underscore};23,004;5,386;48;0;0.0
\texttt{colors};21,487;864;24;0;0.0
