Package Name;Versions;Avg. LOC;Avg. Build DB (s);Avg. Apply Queries (s)
express;262;3,648;4.45;27.6
pm-controls;159;90,930;22.08;38.11
lodash;114;30,928;6.93;31.3
conventional-changelog;101;534;4.19;27.11
async;92;6,124;4.65;27.65
axios;85;6,388;5.24;28.06
moment;71;51,577;9.97;31.12
debug;64;766;4.12;27.13
rpc-websocket;34;2,844;4.49;27.62
kraken-api;20;179;3.68;26.89
ua-parser-js;71;979;4.28;27.29
eslint-scope;20;2,295;4.26;27.4
vue-backbone;4;595;4.17;27.18
getcookies;4;88;3.4;26.62
flatmap-stream;3;93;3.14;26.63
fs-extra;93;1,066;4.22;27.31
prop-types;24;1,595;4.22;27.22
bluebird;223;10,256;5.08;28.19
underscore;48;5,386;5.0;27.9
mkdirp;42;480;4.32;27.14
glob;138;2,030;4.41;27.43
yargs;250;2,418;4.48;27.76
colors;24;864;4.29;27.25
inquirer;141;2,487;4.39;27.49
uuid;37;1,168;4.38;27.45
classnames;26;225;4.64;27.72
tslib;42;618;4.4;27.1
commander;102;1,987;4.37;27.38
chalk;38;533;4.31;27.04
request;122;2,561;4.31;27.54
vue;450;46,328;8.08;32.39
webpack;826;47,781;7.9;32.66
react;1,547;12,717;4.86;28.45
react-dom;1,513;127,745;11.74;42.93
