Query ID;Total Findings;Diff. Findings;Distinct Diff. Findings
dependencies;108,155;1,544;882
hex-encoded-string;148,422;20,272;584
has-minified-top-level-code;40,042;2,694;572
domain-name;23,364;4,110;430
client-request;6,057;1,937;231
crypto-usage;81,892;610;203
array-to-crypto;1,246;170;78
has-minified-statement-container-code;6,464;447;65
prop-access-hex-encoded-string;1,136;737;51
system-command-execution;4,147;136;43
require-child-process;1,163;31;25
usage-of-eval;9,204;917;24
install-script;652;24;24
data-flow-to-process;1,038;40;19
obfuscated-require-declaration;767;31;10
ip-address;309;21;9
jsf-obfuscation;1,458;12;8
hardcoded-data-interpreted-as-code;253;15;5
obfuscated-process-declaration;16;3;3
domain-name-concat;76;15;3
var-access-by-index-expression;3;3;2
process-in-request;2;2;2
process-with-shell;2;2;2
encoded-string-command;1;1;1
encoded-string-require;1;1;1
require-hex-encoded-string;1;1;1
request-to-eval;1;1;1
sensitive-node-file-access;2;0;0
