Package Name;Dependents;Avg. LOC;Versions;Flagged;FP
\texttt{lodash};179,024;30,928;114;0;0.0
\texttt{react};116,945;12,722;1,551;6;0.4
\texttt{axios};113,477;6,388;85;2;2.4
\texttt{tslib};107,785;618;42;0;0.0
\texttt{chalk};102,600;533;38;1;2.6
\texttt{react-dom};85,657;128,944;1,522;22;1.4
\texttt{commander};77,661;1,987;102;0;0.0
\texttt{express};74,961;3,648;262;5;1.9
\texttt{vue};72,607;46,328;450;36;8.0
\texttt{moment};66,439;51,577;71;3;4.2
\texttt{fs-extra};62,671;1,066;93;0;0.0
\texttt{uuid};57,751;1,168;37;0;0.0
\texttt{prop-types};55,546;1,595;24;0;0.0
\texttt{request};55,156;2,561;122;0;0.0
\texttt{inquirer};51,163;2,487;141;0;0.0
\texttt{debug};48,685;766;64;0;0.0
\texttt{classnames};41,441;225;26;0;0.0
\texttt{yargs};35,835;2,418;250;1;0.4
\texttt{async};33,187;6,124;92;4;4.3
\texttt{bluebird};32,128;10,256;223;1;0.4
\texttt{glob};29,935;2,030;138;0;0.0
\texttt{webpack};28,185;47,781;826;14;1.7
\texttt{mkdirp};23,418;480;42;1;2.4
\texttt{underscore};23,013;5,386;48;0;0.0
\texttt{colors};21,538;864;24;0;0.0
