Query ID;Total Findings;Diff. Findings;Distinct Diff. Findings
dependencies;108,461;1,562;896
hex-encoded-string;149,650;20,565;590
has-minified-top-level-code;40,244;2,719;580
domain-name;23,364;4,124;431
client-request;6,113;1,975;235
crypto-usage;81,919;634;211
array-to-crypto;1,273;194;86
has-minified-statement-container-code;6,464;447;65
prop-access-hex-encoded-string;1,138;739;52
system-command-execution;4,147;136;43
require-child-process;1,165;33;27
install-script;655;26;26
usage-of-eval;9,204;917;24
data-flow-to-process;1,038;40;19
obfuscated-require-declaration;767;31;10
ip-address;309;21;9
jsf-obfuscation;1,458;12;8
hardcoded-data-interpreted-as-code;253;15;5
obfuscated-process-declaration;16;3;3
domain-name-concat;76;15;3
var-access-by-index-expression;3;3;2
process-in-request;2;2;2
process-with-shell;2;2;2
encoded-string-command;1;1;1
encoded-string-require;1;1;1
require-hex-encoded-string;1;1;1
request-to-eval;1;1;1
sensitive-node-file-access;2;0;0
