Package Name;Avg. LOC;Versions;Flagged;FP;Score;Found
\texttt{pm-controls};90,930;159;4;1.9;14.0;\Checkmark
\texttt{conventional-changelog};534;101;1;0.0;19.0;\Checkmark
\texttt{ua-parser-js};979;71;2;1.4;12.0;\Checkmark
\texttt{rc};206;49;1;0.0;15.0;\Checkmark
\texttt{rpc-websocket};2,844;34;1;0.0;41.0;\Checkmark
\texttt{coa};1,460;26;1;4.2;7.0/8.0;\XSolidBrush
\texttt{kraken-api};179;20;1;0.0;41.0;\Checkmark
\texttt{eslint-scope};2,295;20;1;0.0;26.0;\Checkmark
\texttt{vue-backbone};595;4;1;0.0;12.0;\Checkmark
\texttt{getcookies};88;4;1;0.0;29.0;\Checkmark
\texttt{flatmap-stream};93;3;1;0.0;39.0;\Checkmark
