Package Name;Versions;Mal. Versions;Obfuscated;Category
\texttt{pm-controls};159;1;Yes;Data Exfiltration
\texttt{conventional-changelog};101;1;Yes;Resource Hijacking
\texttt{ua-parser-js};71;1;No;Data Exfiltration and Resource Hijacking
\texttt{rc};49;1;Yes;Resource Hijacking
\texttt{rpc-websocket};34;1;No;Backdoor
\texttt{coa};26;2;Yes;Resource Hijacking
\texttt{kraken-api};20;1;No;Backdoor
\texttt{eslint-scope};20;1;No;Data Exfiltration
\texttt{vue-backbone};4;1;Yes;Data Exfiltration
\texttt{getcookies};4;1;Yes;Backdoor
\texttt{flatmap-stream};3;1;Yes;Financial Gain
